customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn Probability,Risk Level,Recommended Action
7024-OHCCK,2,93.85,170.85,Month-to-month,Fiber optic,0.9300868767831353,High Risk,Immediate retention offer
7216-EWTRS,1,100.8,100.8,Month-to-month,Fiber optic,0.9296280138850829,High Risk,Immediate retention offer
9300-AGZNL,1,94.0,94.0,Month-to-month,Fiber optic,0.9294047395732485,High Risk,Immediate retention offer
4910-GMJOT,1,94.6,94.6,Month-to-month,Fiber optic,0.9213462203880173,High Risk,Immediate retention offer
2545-EBUPK,2,84.05,186.05,Month-to-month,Fiber optic,0.9183329630245805,High Risk,Immediate retention offer
3988-RQIXO,1,91.3,91.3,Month-to-month,Fiber optic,0.9178254933523614,High Risk,Immediate retention offer
4695-WJZUE,2,88.55,179.25,Month-to-month,Fiber optic,0.913159758404963,High Risk,Immediate retention offer
5192-EBGOV,1,85.7,85.7,Month-to-month,Fiber optic,0.911449238544026,High Risk,Immediate retention offer
5277-ZLOOR,2,85.55,187.45,Month-to-month,Fiber optic,0.9095068054515354,High Risk,Immediate retention offer
9061-TIHDA,13,95.25,1233.65,Month-to-month,Fiber optic,0.9085282040592901,High Risk,Immediate retention offer
9282-IZGQK,1,85.0,85.0,Month-to-month,Fiber optic,0.9077031039860094,High Risk,Immediate retention offer
1724-BQUHA,5,89.5,477.7,Month-to-month,Fiber optic,0.9068633653407909,High Risk,Immediate retention offer
8161-QYMTT,7,94.1,701.3,Month-to-month,Fiber optic,0.9068003585757151,High Risk,Immediate retention offer
8414-MYSHR,5,91.4,449.75,Month-to-month,Fiber optic,0.9057843408190501,High Risk,Immediate retention offer
2725-KXXWT,1,90.75,90.75,Month-to-month,Fiber optic,0.9048505427784559,High Risk,Immediate retention offer
3068-OMWZA,1,88.8,88.8,Month-to-month,Fiber optic,0.9029686215713674,High Risk,Immediate retention offer
2034-GDRCN,2,90.4,168.2,Month-to-month,Fiber optic,0.9029002105210544,High Risk,Immediate retention offer
0970-ETWGE,1,89.55,89.55,Month-to-month,Fiber optic,0.9022099339874361,High Risk,Immediate retention offer
9611-CTWIH,3,89.45,240.45,Month-to-month,Fiber optic,0.900353448695774,High Risk,Immediate retention offer
0723-DRCLG,1,74.45,74.45,Month-to-month,Fiber optic,0.8997855084263099,High Risk,Immediate retention offer
8775-LHDJH,1,90.6,90.6,Month-to-month,Fiber optic,0.8989744141954124,High Risk,Immediate retention offer
